age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,grade
16,3,3,1,3,0,4,3,3,1,3,4,0,7,7,low
15,4,3,1,1,0,4,5,5,1,3,1,4,16,17,high
16,3,1,1,2,0,3,3,3,2,3,2,4,7,6,low
16,4,2,2,2,0,5,3,3,1,1,1,0,11,10,mid
15,2,2,1,4,0,4,3,4,1,1,4,6,11,13,mid
15,1,1,2,4,1,3,1,2,1,1,1,2,7,10,mid
16,4,3,2,1,0,3,3,3,1,1,4,2,11,15,high
16,2,1,1,2,0,4,3,5,1,1,5,2,8,9,mid
16,4,4,1,1,0,5,3,4,1,2,1,6,11,14,mid
16,4,3,1,3,0,5,3,5,1,1,3,0,7,9,low
16,4,4,1,1,0,4,5,5,5,5,4,14,7,7,low
16,4,4,1,3,0,4,4,3,1,1,4,0,16,17,high
15,4,4,1,1,0,5,3,3,1,1,5,4,10,13,mid
15,3,2,2,2,0,4,3,5,1,1,2,26,7,6,low
15,3,4,1,2,0,5,4,4,1,1,1,0,16,18,high
15,3,3,1,4,0,4,3,3,1,1,4,10,10,11,mid
15,2,2,1,4,0,5,1,2,1,1,3,8,7,8,low
16,3,3,1,3,0,5,3,3,1,1,5,2,16,18,high
15,4,4,4,4,0,1,3,5,3,5,1,6,10,13,mid
16,4,4,1,3,0,5,4,5,1,1,4,4,14,15,high
15,4,4,1,1,0,5,5,3,1,1,4,6,18,19,high
16,3,3,1,3,1,4,1,2,1,1,2,0,7,10,mid
16,2,2,1,2,1,3,1,2,1,1,5,6,10,13,mid
15,4,2,1,1,0,3,5,2,1,1,3,10,18,19,high
15,2,1,1,2,0,5,4,2,1,1,5,8,9,9,low
16,4,4,1,2,0,5,4,4,1,2,5,2,15,15,high
15,4,4,2,2,0,4,4,3,1,1,2,2,11,13,mid
16,3,3,2,1,0,5,4,2,1,1,5,0,13,14,mid
17,1,3,3,2,1,5,2,4,1,4,5,20,9,7,low
15,3,4,1,1,0,3,4,3,1,2,4,6,14,13,mid
15,1,2,1,2,0,3,2,3,1,2,1,2,16,15,high
15,2,2,1,4,0,5,5,4,1,2,5,6,16,14,high
16,2,4,2,2,0,4,2,2,1,2,5,2,13,13,mid
16,4,4,1,1,0,3,4,4,1,4,5,18,14,11,mid
16,2,2,1,2,0,5,4,4,1,1,5,0,8,7,low
15,3,4,1,1,0,5,5,5,3,2,5,0,13,13,mid
15,3,4,1,2,0,5,3,2,1,1,1,0,7,10,mid
19,0,1,1,2,3,3,4,2,1,1,5,2,7,8,low
18,2,2,1,1,2,3,3,3,1,2,4,0,7,4,low
16,4,4,1,1,0,3,5,5,2,5,4,8,18,18,high
15,3,4,2,3,2,4,2,2,2,2,5,0,12,0,low
15,1,1,3,1,0,4,3,3,1,2,4,0,8,0,low
17,2,2,1,1,0,3,4,4,1,3,5,12,10,13,mid
16,3,4,1,1,0,3,2,1,1,4,5,16,12,11,mid
15,3,4,4,2,0,5,3,3,1,1,5,0,9,0,low
15,4,4,1,3,0,4,3,3,1,1,5,0,11,0,low
17,3,4,3,2,0,5,4,5,2,4,5,0,10,0,low
16,3,3,2,1,2,4,3,2,1,1,5,0,4,0,low
16,1,1,1,2,1,4,4,4,1,3,5,0,14,12,mid
15,4,4,2,1,0,4,3,2,1,1,5,0,16,16,high
15,4,3,2,4,0,2,2,2,1,1,3,0,7,9,low
16,2,2,2,1,2,2,3,3,2,2,2,8,9,9,low
15,4,4,1,3,0,4,2,2,1,1,5,2,9,11,mid
16,1,1,1,1,0,3,4,4,3,3,1,2,14,14,mid
17,2,1,1,1,3,5,4,5,1,2,5,0,5,0,low
15,1,1,1,2,0,4,4,2,1,2,5,0,8,11,mid
15,3,2,1,2,3,3,3,2,1,1,3,0,6,7,low
15,1,2,1,2,0,4,3,2,1,1,5,2,10,11,mid
16,4,4,1,1,0,3,3,2,2,1,5,0,7,6,low
15,2,1,4,1,3,4,5,5,2,5,5,0,8,9,mid
18,1,1,1,1,3,2,3,5,2,5,4,0,6,5,low
16,2,1,1,1,1,4,4,4,3,5,5,6,12,13,mid
15,3,3,2,3,2,4,2,1,2,3,3,8,10,10,mid
19,3,2,1,1,3,4,5,4,1,1,4,0,5,0,low
17,4,4,1,1,0,4,2,1,1,1,4,0,11,11,mid
15,2,3,1,2,0,4,4,4,1,1,1,2,11,8,low
17,1,2,1,1,0,2,2,2,3,3,5,8,16,12,mid
18,1,1,3,1,3,5,2,5,1,5,4,6,9,8,mid
16,2,2,3,1,0,4,2,2,1,2,3,2,17,15,high
16,3,3,1,2,1,4,5,5,4,4,5,4,10,12,mid
17,2,1,2,1,2,3,3,2,2,2,5,0,7,6,low
15,3,2,2,2,2,4,4,4,1,4,3,6,5,9,low
16,1,2,2,1,1,4,4,4,2,4,5,0,7,0,low
17,1,3,1,1,0,5,3,3,1,4,2,2,10,10,mid
17,1,1,4,2,3,5,3,5,1,5,5,0,5,8,low
16,3,2,2,1,1,4,5,2,1,1,2,16,12,11,mid
16,2,2,1,2,0,4,3,5,2,4,4,4,10,10,mid
16,4,2,1,2,0,4,2,3,1,1,3,0,14,15,high
16,2,2,1,2,0,5,1,5,1,1,4,0,6,7,low
16,4,4,1,2,0,4,4,2,1,1,3,0,14,14,mid
16,3,4,3,1,2,3,4,5,2,4,2,0,6,5,low
16,1,0,2,2,0,4,3,2,1,1,3,2,13,15,high
17,4,4,1,2,0,4,4,4,1,3,5,0,13,11,mid
16,1,3,1,2,3,4,3,5,1,1,3,0,8,7,low
16,3,3,2,2,0,4,4,5,1,1,4,4,10,11,low
17,4,3,2,2,0,4,4,4,4,4,4,4,10,9,low
16,2,2,2,2,0,3,4,4,1,4,5,2,13,13,mid
17,3,3,1,2,0,4,3,4,1,4,4,4,6,5,low
16,4,2,1,1,0,4,3,3,3,4,3,10,10,8,low
17,4,3,1,2,0,5,2,3,1,1,2,4,10,10,mid
16,4,3,1,2,0,3,4,3,2,3,3,10,9,8,low
16,3,3,1,2,0,4,2,3,1,2,3,2,12,13,mid
17,2,4,1,2,0,5,4,2,2,3,5,0,16,17,high
17,3,3,1,2,0,5,3,3,2,3,1,56,9,9,low
16,3,2,1,2,0,1,2,2,1,2,1,14,12,13,mid
17,3,3,1,2,0,4,3,4,2,3,4,12,12,12,mid
16,1,2,1,1,0,3,3,3,1,2,3,2,11,12,mid
16,2,1,1,2,0,4,2,3,1,2,5,0,15,15,high
17,3,3,1,2,0,3,3,3,1,3,3,6,8,7,low
17,1,2,1,2,0,3,1,3,1,5,3,4,8,9,mid
16,2,3,1,2,0,4,3,3,1,1,2,10,11,12,mid
17,1,1,1,2,0,5,3,3,1,1,3,0,8,8,low
17,1,2,2,2,0,4,4,4,4,5,5,12,7,8,low
16,3,3,1,1,0,4,3,2,3,4,5,8,8,9,mid
16,2,3,2,1,0,5,3,3,1,1,3,0,13,14,mid
17,2,4,1,2,0,4,3,2,1,1,5,0,14,15,high
17,4,4,1,1,0,5,2,3,1,2,5,4,17,15,high
16,3,3,3,1,0,3,3,4,3,5,3,8,9,9,mid
17,4,4,2,1,1,4,2,4,2,3,2,24,18,18,high
16,4,4,1,2,0,4,5,2,1,2,3,0,9,9,mid
16,4,3,1,2,0,4,3,5,1,5,2,2,16,16,high
16,2,3,1,2,0,4,4,3,1,3,4,6,8,10,mid
17,1,1,1,2,0,4,4,4,1,3,1,4,9,9,mid
17,2,2,1,1,0,5,3,2,1,2,3,18,7,6,low
16,2,2,2,4,0,5,3,5,1,1,5,6,10,10,mid
17,3,4,1,3,1,4,4,3,3,4,5,28,10,9,low
16,3,1,1,2,3,2,3,3,2,2,4,5,7,7,low
16,4,3,1,2,0,1,3,2,1,1,1,10,11,12,mid
16,1,1,2,1,0,4,3,2,1,4,5,6,9,9,mid
17,4,3,2,3,0,4,4,2,1,1,4,6,7,7,low
19,3,3,1,4,0,4,3,3,1,2,3,10,8,8,low
17,4,4,1,2,0,5,3,5,4,5,3,13,12,12,mid
16,2,2,1,2,0,3,3,4,1,1,4,0,12,13,mid
18,2,2,1,2,1,4,4,4,2,4,5,15,6,7,low
17,4,4,1,1,0,5,2,1,1,2,3,12,8,10,mid
17,3,2,2,2,0,4,4,4,1,3,1,2,14,15,high
17,4,3,1,2,2,3,4,5,2,4,1,22,6,6,low
18,3,3,1,2,1,3,2,4,2,4,4,13,6,6,low
17,2,3,2,1,0,3,3,3,1,4,3,3,7,7,low
17,2,2,1,3,0,4,3,3,1,1,4,4,9,10,mid
17,2,1,2,2,0,4,2,5,1,2,5,2,6,6,low
17,1,1,1,3,1,4,3,4,1,1,5,0,6,5,low
16,2,3,1,2,0,2,3,1,1,1,3,2,16,16,high
18,2,2,2,2,0,3,3,3,5,5,4,0,12,13,mid
16,4,4,1,3,0,5,3,2,1,1,5,0,13,13,mid
18,3,1,1,2,1,5,3,3,1,1,4,16,9,8,low
17,3,2,1,2,0,5,3,4,1,3,3,10,16,15,high
17,2,3,1,2,0,5,3,3,1,3,3,2,12,11,mid
18,2,1,4,2,0,4,3,2,4,5,3,14,10,8,low
17,2,1,2,3,0,3,2,3,1,2,3,10,12,10,mid
17,4,3,1,2,0,3,2,3,1,2,3,14,13,13,mid
17,2,2,2,2,0,4,5,2,1,1,1,4,11,11,mid
17,4,4,1,2,0,4,5,5,1,3,2,14,11,9,low
16,4,4,1,2,0,4,2,4,2,4,1,2,14,13,mid
16,1,1,2,2,0,3,4,2,1,1,5,18,9,7,low
16,3,2,2,3,0,5,3,3,1,3,2,10,11,9,mid
17,2,2,1,2,0,4,4,2,5,5,4,4,14,13,mid
16,2,1,1,1,0,4,5,2,1,1,5,20,13,12,mid
17,2,1,3,2,0,2,1,1,1,1,3,2,13,11,mid
18,2,2,1,2,1,5,5,4,3,5,2,0,7,7,low
17,4,3,2,2,0,2,5,5,1,4,5,14,12,12,mid
17,4,4,2,2,0,3,3,3,2,3,4,2,10,11,mid
16,4,3,1,1,0,5,4,5,1,1,3,0,6,0,low
16,4,4,1,1,0,5,3,2,1,2,5,0,13,12,mid
18,2,1,2,3,0,4,4,4,1,1,3,0,7,0,low
16,2,1,3,1,0,4,3,3,1,1,4,6,18,18,high
17,2,3,2,1,0,5,2,2,1,1,2,4,12,12,mid
22,3,1,1,1,3,5,4,5,5,5,1,16,6,8,low
18,3,3,1,2,1,4,3,3,1,3,5,8,3,5,low
16,0,2,1,1,0,4,3,2,2,4,5,0,13,15,high
18,3,2,2,1,1,4,4,5,2,4,5,0,6,8,low
16,3,3,3,2,0,5,3,3,1,3,2,6,7,10,mid
18,2,1,1,1,1,3,2,5,2,5,5,4,6,9,low
16,2,1,2,1,0,3,3,2,1,3,3,0,8,9,low
17,2,1,1,1,0,4,4,2,2,4,5,0,8,12,mid
17,1,1,2,1,1,4,4,4,1,2,5,2,7,9,low
17,4,2,1,4,0,4,2,3,1,1,4,6,14,12,mid
19,4,3,1,2,0,4,3,1,1,1,1,12,11,11,mid
18,2,1,1,2,0,5,2,4,1,2,4,8,15,14,mid
17,2,2,1,4,0,3,4,1,1,1,2,0,10,9,low
18,4,3,1,2,0,3,1,2,1,3,2,21,17,18,high
18,4,3,1,2,0,4,3,2,1,1,3,2,8,8,low
18,3,2,1,3,0,5,3,2,1,1,3,1,13,12,mid
17,3,3,1,3,0,3,2,3,1,1,4,4,10,9,low
18,2,2,1,3,0,4,3,3,1,1,3,0,9,10,low
18,3,4,2,2,0,4,2,5,3,4,1,13,17,17,high
17,3,1,1,2,0,5,4,4,3,4,5,2,9,9,mid
18,4,4,2,2,0,4,3,4,2,2,4,8,12,10,mid
18,4,2,1,2,0,5,4,5,1,3,5,10,10,9,mid
18,2,1,2,2,0,4,3,5,1,2,3,0,6,0,low
19,3,3,1,2,2,4,3,5,3,3,5,15,9,9,low
18,2,3,1,4,0,4,5,5,1,3,2,4,15,14,mid
18,1,1,2,2,0,4,4,3,1,1,3,2,11,11,mid
17,1,2,1,2,0,3,5,2,2,2,1,2,15,14,mid
17,2,4,2,2,0,4,3,3,1,1,1,2,10,10,mid
17,2,2,2,2,0,4,4,4,2,3,5,6,12,12,mid
18,3,2,2,2,0,4,1,1,1,1,5,75,10,9,low
18,4,4,2,1,0,3,2,4,1,4,3,22,9,9,low
18,4,4,1,2,1,2,4,4,1,1,4,15,9,8,low
18,4,3,2,1,0,4,2,3,1,2,1,8,10,11,mid
17,4,1,2,1,0,4,5,4,2,4,5,30,8,8,low
17,3,2,1,1,1,4,4,4,3,4,3,19,11,9,mid
18,1,1,2,4,0,5,2,2,1,1,3,1,12,12,mid
18,1,1,2,2,0,5,4,4,1,1,4,4,8,9,mid
17,2,2,1,2,0,5,4,5,1,2,5,4,10,9,mid
17,1,1,1,2,0,4,3,3,1,2,4,2,12,10,mid
18,2,2,1,3,0,4,3,3,1,2,2,5,18,18,high
17,1,1,1,3,0,4,3,3,1,1,3,6,13,12,mid
18,2,1,1,3,0,4,2,4,1,3,2,6,15,14,mid
18,4,4,1,2,0,5,4,3,1,1,2,9,15,13,high
18,4,2,1,2,0,4,3,2,1,4,5,11,12,11,mid
17,4,3,1,3,0,4,2,2,1,2,3,0,15,15,high
18,2,1,1,2,1,5,4,3,1,1,5,12,12,12,mid
17,3,1,2,4,0,3,1,2,1,1,3,6,18,18,high
18,3,2,2,3,0,5,4,2,1,1,4,8,14,13,mid
17,3,3,1,1,0,4,4,3,1,3,5,4,14,12,mid
19,4,4,2,2,0,2,3,4,2,3,2,0,10,9,low
18,4,3,2,2,0,4,4,5,1,2,2,10,10,8,low
18,4,3,1,4,0,4,3,3,1,1,3,0,14,13,mid
18,4,4,1,1,0,1,4,2,2,2,1,5,16,15,high
18,4,4,1,2,0,4,2,4,1,1,4,14,12,10,mid
17,4,4,2,1,0,4,1,1,2,2,5,0,11,11,mid
17,4,2,2,3,0,4,3,3,1,1,3,0,15,12,mid
17,3,2,1,4,0,5,2,2,1,2,5,0,17,17,high
19,3,3,1,2,1,4,4,4,1,1,3,20,15,14,mid
18,2,4,1,2,1,4,4,3,1,1,3,8,14,12,mid
20,3,2,1,1,0,5,5,3,1,1,5,0,17,18,high
19,4,4,2,1,1,4,3,4,1,1,4,38,8,9,low
19,3,3,1,2,1,4,5,3,1,2,5,0,15,12,mid
19,1,1,1,2,1,4,4,3,1,3,3,18,12,10,mid
19,1,2,1,2,1,4,2,4,2,2,3,0,9,9,low
19,2,1,3,2,0,3,4,1,1,1,2,20,14,12,mid
19,1,2,1,2,1,4,5,2,2,2,4,3,13,11,mid
19,3,2,2,2,1,4,2,2,1,2,1,22,13,10,mid
19,1,1,1,3,2,4,1,2,1,1,3,14,15,13,mid
19,2,3,1,3,1,4,1,2,1,1,3,40,13,11,mid
18,2,1,2,2,0,5,3,3,1,2,1,0,8,8,low
18,4,3,1,3,0,4,3,4,1,1,5,9,9,10,low
17,3,4,1,3,0,4,3,4,2,5,5,0,11,11,mid
18,4,4,1,2,0,4,4,4,3,3,5,2,11,11,mid
17,4,3,1,2,0,5,2,2,1,2,5,23,13,13,mid
17,2,2,1,2,0,4,2,2,1,1,3,12,11,9,low
17,2,2,1,3,0,3,3,2,2,2,3,3,11,11,mid
17,3,1,1,3,0,3,4,3,2,3,5,1,12,14,high
17,0,2,2,3,0,3,3,3,2,3,2,0,16,15,high
18,4,4,1,3,0,4,3,3,2,2,3,3,9,12,mid
17,3,3,1,1,0,4,3,5,3,5,5,3,14,15,high
17,2,2,4,1,0,4,4,5,5,5,4,8,11,10,mid
17,4,4,1,3,0,5,4,4,1,3,4,7,10,9,low
17,4,4,2,3,0,4,3,3,1,2,4,4,14,14,mid
18,2,2,1,4,0,4,5,5,2,4,5,2,9,8,low
17,2,4,1,3,0,4,4,3,1,1,5,7,12,14,mid
18,3,3,1,2,0,5,3,4,1,1,4,0,7,0,low
18,2,2,1,2,0,4,3,3,1,1,2,0,8,8,low
18,2,2,2,4,0,4,4,4,1,1,4,0,10,9,low
17,3,4,1,3,0,4,4,5,1,3,5,16,16,15,high
19,3,1,1,3,1,5,4,3,1,2,5,12,14,13,mid
17,3,2,1,2,0,4,3,2,2,3,2,0,7,8,low
18,3,3,1,4,0,5,3,3,1,1,1,7,16,15,high
17,3,2,1,2,0,4,3,3,2,3,2,4,9,10,mid
19,2,1,1,3,1,4,3,4,1,3,3,4,11,12,mid
18,4,4,1,2,1,4,3,3,2,2,2,0,10,10,low
18,3,4,1,2,0,4,3,3,1,3,5,11,16,15,high
17,2,2,1,2,1,3,3,1,1,2,4,0,9,8,low
18,2,3,1,3,0,4,3,3,1,2,3,4,11,10,mid
18,3,2,1,3,0,5,4,3,2,3,1,7,13,13,mid
18,4,3,1,3,0,5,3,2,1,2,4,9,16,15,high
18,4,3,1,3,0,5,4,5,2,3,5,0,10,10,low
17,4,3,1,3,0,4,4,3,1,3,4,0,13,15,high
18,3,2,2,1,1,2,5,5,5,5,5,10,11,13,mid
19,1,1,3,2,3,5,4,4,3,3,2,8,8,7,low
17,3,3,2,2,0,4,5,4,2,3,3,2,13,13,mid
18,1,3,1,1,1,4,3,3,2,3,3,7,8,7,low
19,1,1,3,1,1,4,4,4,3,3,5,4,8,8,low
17,4,3,2,2,0,4,5,5,1,3,2,4,13,11,mid
18,3,3,1,2,0,5,3,4,1,1,5,0,10,9,low
17,4,4,2,2,0,4,3,3,1,2,5,4,12,13,mid
17,3,2,2,2,0,1,2,3,1,2,5,2,12,12,mid
18,1,1,2,1,0,3,3,2,1,2,3,4,10,10,mid
18,1,1,2,3,0,5,3,2,1,1,4,0,18,16,high
18,1,4,3,2,0,4,3,4,1,4,5,0,13,13,mid
18,1,1,2,2,1,4,4,3,2,3,5,2,13,12,mid
18,3,3,2,2,0,4,3,2,1,3,3,0,11,11,mid
17,4,4,1,2,0,2,3,4,1,1,1,0,16,15,high
17,1,2,2,2,0,3,2,2,1,2,3,0,12,11,mid
18,1,3,2,2,0,3,3,4,2,4,3,4,10,10,mid
18,4,4,2,3,0,4,2,2,2,2,5,0,13,13,mid
17,1,1,3,1,1,5,2,1,1,2,1,0,7,6,low
18,2,3,2,1,0,5,2,3,1,2,4,0,11,10,mid
18,4,4,3,2,0,3,2,2,4,2,5,10,14,12,mid
19,3,2,2,2,2,3,2,2,1,1,3,4,7,7,low
18,1,2,3,1,0,4,3,3,2,3,3,3,14,12,mid
17,2,2,1,3,0,3,4,3,1,1,3,8,13,11,mid
17,1,2,1,1,0,3,5,5,1,3,1,14,6,5,low
18,4,4,2,3,0,5,4,4,1,1,1,0,19,18,high
18,1,1,4,3,0,4,3,2,1,2,4,2,8,8,mid
20,4,2,2,3,2,5,4,3,1,1,3,4,15,14,high
18,4,4,1,2,0,5,4,3,3,4,2,4,8,9,mid
18,3,3,1,2,0,4,1,3,1,2,1,0,15,15,high
17,3,1,1,2,0,4,5,4,2,3,1,17,10,10,mid
18,4,4,1,2,0,3,2,4,1,4,2,4,15,14,mid
18,2,1,2,1,0,4,4,3,1,3,5,5,7,6,low
17,2,3,2,2,0,4,4,3,1,1,3,2,11,11,mid
19,1,1,2,1,1,4,3,2,1,3,5,0,6,5,low
18,4,2,2,1,1,5,4,3,4,3,3,14,6,5,low
18,2,2,2,3,0,5,3,3,1,3,4,2,10,9,mid
18,4,4,3,1,0,4,4,3,2,2,5,7,6,5,low
19,2,3,1,3,1,5,4,2,1,2,5,0,7,5,low
18,3,1,1,2,0,4,3,4,1,1,1,0,7,9,low
18,1,1,2,2,1,1,1,1,1,1,5,0,6,5,low
20,2,2,1,2,2,5,5,4,4,5,4,11,9,9,low
17,3,1,2,1,0,2,4,5,3,4,2,3,14,16,high
21,1,1,1,1,3,5,5,3,3,3,3,3,10,8,low
18,3,2,3,1,0,4,4,1,3,4,5,0,11,12,mid
19,1,1,1,1,0,3,2,3,3,3,5,5,8,9,low
